Signature: 4/4, Ticks per Beat: 1024
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16
0,000000;0;1;1;0;76;0,062500;512;2
0,062500;5632;1;1;512;74;0,062500;512;2
0,125000;6144;1;2;0;74;0,062500;512;2
0,187500;6656;1;2;512;72;0,062500;512;2
0,250000;7168;1;3;0;72;0,062500;512;2
0,312500;7680;1;3;512;71;0,062500;512;2
0,375000;8192;1;4;0;71;0,062500;512;2
0,437500;8704;1;4;512;64;0,062500;512;2
0,500000;9216;2;1;0;65;0,125000;1024;4
0,625000;10240;2;2;0;76;0,062500;512;2
0,687500;10752;2;2;512;74;0,125000;1024;4
0,812500;11776;2;3;512;76;0,125000;1024;4
0,937500;12800;2;4;512;67;0,062500;512;2
1,000000;13312;3;1;0;74;0,062500;512;2
1,062500;13824;3;1;512;74;0,062500;512;2
1,125000;14336;3;2;0;74;0,062500;512;2
1,187500;14848;3;2;512;74;0,187500;1536;6
1,375000;16384;3;4;0;72;0,062500;512;2
1,437500;16896;3;4;512;72;0,250000;2048;8
1,687500;18944;4;2;512;67;0,062500;512;2
1,750000;19456;4;3;0;69;0,062500;512;2
1,812500;19968;4;3;512;72;0,125000;1024;4
1,937500;20992;4;4;512;72;0,125000;1024;4
2,062500;22016;5;1;512;72;0,125000;1024;4
2,187500;23040;5;2;512;72;0,187500;1536;6
2,375000;24576;5;4;0;69;0,062500;512;2
2,437500;25088;5;4;512;72;0,125000;1024;4
2,562500;26112;6;1;512;74;0,062500;512;2
2,625000;26624;6;2;0;76;0,062500;512;2
2,687500;27136;6;2;512;74;0,125000;1024;4
2,812500;28160;6;3;512;72;0,000000;0;0
