Signature: 4/4, Ticks per Beat: 1024
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16
0,000000;0;1;3;512;67;0,125000;1024;4
0,125000;8704;1;4;512;69;0,062500;512;2
0,187500;9216;2;1;0;71;0,062500;512;2
0,250000;9728;2;1;512;71;0,062500;512;2
0,312500;10240;2;2;0;71;0,062500;512;2
0,375000;10752;2;2;512;67;0,062500;512;2
0,437500;11264;2;3;0;69;0,062500;512;2
0,500000;11776;2;3;512;69;0,062500;512;2
0,562500;12288;2;4;0;69;0,062500;512;2
0,625000;12800;2;4;512;67;0,062500;512;2
0,687500;13312;3;1;0;69;0,375000;3072;12
1,062500;16384;3;4;0;71;0,062500;512;2
1,125000;16896;3;4;512;71;0,062500;512;2
1,187500;17408;4;1;0;71;0,062500;512;2
1,250000;17920;4;1;512;71;0,062500;512;2
1,312500;18432;4;2;0;71;0,062500;512;2
1,375000;18944;4;2;512;67;0,062500;512;2
1,437500;19456;4;3;0;69;0,062500;512;2
1,500000;19968;4;3;512;69;0,062500;512;2
1,562500;20480;4;4;0;65;0,062500;512;2
1,625000;20992;4;4;512;68;0,062500;512;2
1,687500;21504;5;1;0;68;0,437500;3584;14
2,125000;25088;5;4;512;67;0,125000;1024;4
2,250000;26112;6;1;512;67;0,062500;512;2
2,312500;26624;6;2;0;67;0,062500;512;2
2,375000;27136;6;2;512;65;0,062500;512;2
2,437500;27648;6;3;0;67;0,062500;512;2
2,500000;28160;6;3;512;67;0,062500;512;2
2,562500;28672;6;4;0;67;0,062500;512;2
2,625000;29184;6;4;512;63;0,062500;512;2
2,687500;29696;7;1;0;65;0,562500;4608;18
3,250000;34304;8;1;512;73;0,062500;512;2
3,312500;34816;8;2;0;73;0,062500;512;2
3,375000;35328;8;2;512;69;0,062500;512;2
3,437500;35840;8;3;0;71;0,062500;512;2
3,500000;36352;8;3;512;71;0,062500;512;2
3,562500;36864;8;4;0;68;0,062500;512;2
3,625000;37376;8;4;512;69;0,062500;512;2
3,687500;37888;9;1;0;69;0,000000;0;0
